"LSOA2021","LAD2024","LSOA_NAME_2021","LAD_NAME_2024","IMD_RANK","IMD_DECILE","IDACI_RANK","IDACI_DECILE","IDAOPI_RANK","IDAOPI_DECILE","EST_RANK","EST_DECILE","CYP_RANK","CYP_DECILE","ADS_RANK","ADS_DECILE","BHS_RANK","BHS_DECILE","GEO_RANK","GEO_DECILE","WID_RANK","WID_DECILE","LIV_RANK","LIV_DECILE","IND_RANK","IND_DECILE","OUT_RANK","OUT_DECILE","IMD","INC","EMP","EST","HDD","CRM","BHS","LIV","IDACI","IDAOPI","CYP","ADS","GEO","WID","IND","OUT","INCN","EMPN","ESTN","HDDN","CRMN","BHSN","LIVN","CYPN","ADSN","INDN","OUTN"
"E01004766","E08000001","Bolton 005A","Bolton",6907,3,8162,3,8581,3,16724,5,27065,9,9469,3,23488,7,27429,9,10445,4,2280,1,3034,1,4770,2,33.083,0.353,0.169,16.747,0.791,1.285,15.516,49.793,0.496,0.289,-0.75,0.292,21.682,1.337,0.905,0.808,0.426966292134831,0.295620437956204,0.197121416566058,0.559813463098135,0.714917127071823,0.215402151949016,0.617673941078516,0.347129008202834,0.466321243523316,0.752432069775243,0.631564772421223
"E01004767","E08000001","Bolton 005B","Bolton",13203,4,9172,3,11113,4,17748,6,26966,8,10666,4,30991,10,25017,8,20483,7,8418,3,7882,3,8795,3,21.929,0.284,0.144,15.478,0.199,0.608,9.043,31.783,0.469,0.236,-0.742,0.279,24.662,-1.004,0.474,0.426,0.340823970037453,0.25,0.182101176526288,0.43978102189781,0.565303867403315,0.103607882419993,0.392179694249333,0.34862043251305,0.443868739205527,0.607849714860785,0.528683005655804
"E01004768","E08000001","Bolton 001A","Bolton",30794,10,32313,10,31155,10,30612,10,30390,10,28913,9,15119,5,11170,4,15152,5,28940,9,25296,8,29591,9,5.081,0.048,0.049,2.948,-0.762,-0.043,21.453,5.472,0.065,0.043,-1.11,0.139,39.063,0.149,-0.45,-0.824,0.0461922596754057,0.0766423357664234,0.0337925810193405,0.244931062449311,0.421436464088398,0.317939241118461,0.0627527576406366,0.280014914243102,0.202072538860104,0.297886615229789,0.192028009695664
"E01004769","E08000001","Bolton 003A","Bolton",27111,9,26190,8,28514,9,27542,9,30882,10,22511,7,21653,7,17446,6,14758,5,21917,7,16821,5,29665,9,8.287,0.104,0.075,5.595,-0.139,-0.394,16.778,11.885,0.158,0.058,-1.181,0.184,32.269,0.235,-0.051,-0.829,0.116104868913858,0.124087591240876,0.0651232156807045,0.37124898621249,0.343867403314917,0.237197975855339,0.14304673903517,0.266778523489933,0.27979274611399,0.431734317343174,0.190681389711823
"E01004770","E08000001","Bolton 003B","Bolton",24397,8,21069,7,27922,9,24137,8,30600,10,17402,6,24004,8,19474,6,15337,5,13053,4,10143,4,17492,6,10.49,0.129,0.096,8.594,-0.721,-0.162,15.113,23.335,0.229,0.062,-1.138,0.22,30.342,0.111,0.32,-0.101,0.147315855181024,0.162408759124088,0.100620221101721,0.253244120032441,0.395138121546961,0.208441995820452,0.286406490628404,0.274794929157345,0.341968911917098,0.556189198255619,0.386749259359009
"E01004771","E08000001","Bolton 003C","Bolton",28855,9,27616,9,29247,9,30511,10,33121,10,26300,8,27995,9,19139,6,20561,7,19181,6,15137,5,24286,8,6.801,0.107,0.068,3.044,-0.551,-0.211,12.019,14.896,0.14,0.054,-1.738,0.159,30.656,-1.02,0.03,-0.468,0.119850187265918,0.111313868613139,0.0349288639537912,0.287712895377129,0.384309392265193,0.155005958446314,0.180745971528378,0.162938105891126,0.236614853195164,0.458906407245891,0.287907352545112
"E01004772","E08000001","Bolton 005C","Bolton",5714,2,3755,2,8138,3,9417,3,12862,4,6630,2,23990,8,18822,6,15860,5,28462,9,23750,8,32392,10,36.251,0.446,0.268,28.983,0.859,0.728,15.121,5.854,0.636,0.299,0.249,0.327,30.95,-0.003,-0.375,-1.169,0.543071161048689,0.476277372262774,0.341950145586251,0.57360097323601,0.591823204419889,0.208580162691491,0.0675355895278519,0.533370618941089,0.526770293609672,0.323045957732305,0.0991112308106652
"E01004773","E08000001","Bolton 003D","Bolton",19972,6,13795,5,19079,6,19657,6,27531,9,12794,4,30586,10,25169,8,19532,6,9965,3,9628,3,8741,3,14.394,0.199,0.089,13.227,-0.252,0.304,9.509,28.757,0.36,0.126,-0.789,0.258,24.488,-0.797,0.354,0.43,0.234706616729089,0.14963503649635,0.155457708969533,0.348337388483374,0.498121546961326,0.111656102657985,0.354292654221287,0.339858314690529,0.407599309153713,0.56759476685676,0.529760301642876
"E01004774","E08000001","Bolton 005D","Bolton",7568,3,5430,2,8072,3,11990,4,15354,5,8876,3,26896,8,26169,8,13882,5,6932,3,6184,2,9582,3,31.549,0.368,0.194,23.836,0.687,0.944,12.893,34.892,0.576,0.301,0.073,0.298,23.279,0.443,0.609,0.371,0.445692883895131,0.341240875912409,0.281028809506901,0.538726682887267,0.639558011049724,0.170100689107269,0.431105935970151,0.500559284116331,0.476683937823834,0.653136531365314,0.513870185833558
"E01004775","E08000001","Bolton 014A","Bolton",28488,9,27507,9,27565,9,29921,9,28814,9,28873,9,16835,5,8770,3,21600,7,16524,5,18963,6,8573,3,7.13,0.094,0.06,3.567,-0.555,-0.507,20.136,18.323,0.141,0.064,-0.918,0.139,42.47,-1.257,-0.152,0.442,0.103620474406991,0.0967153284671533,0.0411192386904339,0.286901865369019,0.318895027624309,0.295193519973748,0.223653732987767,0.315809097688292,0.202072538860104,0.397853069439785,0.532992189604094
